DESCRIPTION,REST,DRG,DRAWING_ATTACHED,SPECN,ITEM_NO,AMD_NO,SK_NO,ALT,REV,REST_SPECIFICATION,QUANTITY
,STAINLESS STEEL COMMERCIAL MUG WITH CHAIN AND RINGS TO STAINLESS STEEL COMMERCIAL QUALITY SS304 MUG WITH CHAIN AND RINGS TO ICF TO PL ,DRG NO ICF/SK-6-3-481 ,No,,,,,,,QUALITY 304 QUALITY 304 COL-I 1 ITEMS-1 6 6 7 NO 39676782 ,
,,,,,,,,,,,
,Bottom Nylon guide sliding door SLR Coaches RCF ,drg.No LB 58132 ,No,,,,,Alt -Nil ,,,
,,,,,,,,,,,
,POH kit Equalising discharge WSF make items per detailed part list given annexure mailed mail id ,,No,,,,,,,set 22 ,
,,,,,,,,,,,
,POH kit EP brake valve Air portion hard ware WSF Washer splinded Spring friction device No No Cam Roller Part -01 No Exhaust Choke Part No 01 No Oil retaining bush valve body lower Part 01 No Insulating strip Part No 01 No Insulating base Part No -01 No Double contact Part No 01 No ,,No,,,,,,,Set 08 make 1 shaft 70294 shaft 1 A70294/1- 01 No 2 No 87824 No 31 A87824/31 01 No 3 Part 701181 Part 1 No.J701181/1 01 No 4 A 70205 A 117 70205/117- 01 No 5 No.IA 70319 70319- 01 No 6 No 88617 No 1 A88617/1 01 No 7 No 88615 No 1 A88615/1 01 No 8 No 88616 No 1 A88616/1 01 ,
,,,,,,,,,,,
,SET OF ELECTRONIC AND ELECTRO PNEUMATIC EQUIPMENT FOR EP BRAKE SYSTEM OF DEMU AND EMU COACHES AS PER THE DETAILED PART LIST AND SPECIFICATIONS MENTIONED OVERLEAF REQUIRED ONLY ,,No,,,,,,,,
,,,,,,,,,,,
,Bogie frame arrangement HP Coaches ,Drg No DMU/DPC/-0-3-009 ,No,,,,,alt ,,DEMU 700 ICF 1 ,
,,,,,,,,,,,
,G type door gear complete set Aluminium top amount feet 2 Sliding door fitting Ball bearing type ,,No,,,,,,,consisting 2 items 1 channel 2 thickness 6 length 2 ,
,,,,,,,,,,,
,LOWER SPRING BEAM ARRANGEMENT AC COACHES TO LOWER SPRING BEAM ARRANGEMENT FOR SELF-GENERATION AC COACHES TO ICF COL-1 E FROM APPROVED SOURCES ONLY ICF Approved sources considered ,DRG .NO WLRRM-0-5-006 ,No,,,,,,,ICF 1 ICF 1 ,
,,,,,,,,,,,
,Maintenance Kit WSF Make EP Brake controller items per attachement attachement mailed firm PAC item since IREPS program accepting uploading documents ,,No,,,,,,,consisting 20 ,
,,,,,,,,,,,
,structural adhesive ,,No,,,,,,,Anabond 540 ,
,,,,,,,,,,,
,POH Kit isolating valve reducing valve WSF make Brake Valve Set Hardware Items per detailed list attached sent mail mail ID ,,No,,,,,,,consists 29 ,
,,,,,,,,,,,
,Horn suitable Elgi make Part equivalent ,,No,,,,,,,No 007027 ,
,,,,,,,,,,,
,FOUR LEGGED CHAIN SLING TON CAP DETAILED DESCRIPTION FOUR LEGGED LIFTING CHAIN SLING IS DIA ALLOY STEEL SHORT LINK CHAIN BUTT WELDED IS TOP BULL DIA ID INTERMEDIATE BULL RING ID BOTTOM END FORGED EYE HOOK IS GR T SAFE TON PROOF TON PROOF LOAD TEST CERTIFICATE TO B E ENCLOSED FROM GOVT APPROVED AT GUEST HOUSE MAKE NATIONAL LINKS CHAIN ,,No,,,,,,,IS 2760 2760 1980 1980 20 IS 2760 IS 1980 2760:1980 12.5 GRADE 80 IS 6216 6216 2003 RING 56 X 250 RING 125 IS 3822 IS 2002 EFFECTIVE -2.5 WORKING 20 LOAD 40 ,
,,,,,,,,,,,
,LaserJet printer equivalent Model HP LaserJet Printer series Similar Model Print speed ISO Up 1200 dpl Black Best Up x dpl Black MB LCD Text Duty per month RMPV Up Make HP CANON SAMSUNG ,,No,,,,,,,"PRO 202 PRO 203 Up 26 Up 25 ppm 4 Up 1200 x 1200 Up 4800 x 600 Normal 750 MHZ 128 RAM 2 Cycle 15 Cycle 000 Up 250 250 2 250 000 2,000 2 pages2 1 USB 2.0 2.0 1 Ethernet 10 Ethernet 100 ",
,,,,,,,,,,,
,POH kit EP brake valve Air portion hard ware WSF Washer splinded Spring friction device No No Cam Roller Part -01 No Exhaust Choke Part No 01 No Oil retaining bush valve body lower Part 01 No Insulating strip Part No 01 No Insulating base Part No -01 No Double contact Part No 01 No ,,No,,,,,,,Set 08 make 1 shaft 70294 shaft 1 A70294/1- 01 No 2 No 87824 No 31 A87824/31 01 No 3 Part 701181 Part 1 No.J701181/1 01 No 4 A 70205 A 117 70205/117- 01 No 5 No.IA 70319 70319- 01 No 6 No 88617 No 1 A88617/1 01 No 7 No 88615 No 1 A88615/1 01 No 8 No 88616 No 1 A88616/1 01 ,
,,,,,,,,,,,
,Back rest cum berth holding bracket smooth finish chromium plated CN coaches SCR ,Drg No PD/TPYS/SCR Drg No C W-99 ,No,,,,,Alt Nil ,,,
,,,,,,,,,,,
,Horn suitable Elgi make Part equivalent ,,No,,,,,,,No 07026 ,
,,,,,,,,,,,
,Center pivot liner BLC Wagon ,Drg.No CONTR 9404-,No,,Item No.3 ,,,Alt-8 ,,RDSO 5 ,
,,,,,,,,,,,
,Supply Fitment Thread Chaser inches dia Lock Plate inches dia complete Thread Chaser set suitable Threading Continental Machine Tools Machine Tools Details given attachment ,,No,,,,,,,aChuck 12 Szie 10 Machine 3 Mode3l 50 ,
,,,,,,,,,,,
,Taps Press matic pillar cock make JAQUAR Similar Make JAQUAR VIJAY HINDWARE ,,No,,,,,,,model 031 ,
,,,,,,,,,,,
,Front Half Open Cage Pallet shown As per enclosed specification ,DRG SCR/LGD/M P/DRG No.0155 ,No,,,,,,,,
,,,,,,,,,,,
,Supply conductor Berth ICF procured RDSO Approved sources per vendor Note Offers RDSO Approved sources considered ,Drg.No WGSCWAC-6-1-029 ,No,,item No 65 ,,,,,directory .7 directory .1 directory .1 page 57 57 221 ,
,,,,,,,,,,,
,Tie Rod B latest Ref Drg No latest ,Drg No CONTR 9406-,No,,Item No.2 ,,,Alt 7 ,,Car 7 CONTR 9405 CONTR 11 Item .2 No.2 7 ,
,,,,,,,,,,,
,BOGIE FRAME ARRANGEMENT FOR COACHES TO BOGIE FRAME ARRANGEMENT FOR DEMU 700hp COACHES TO ICF COL-I approved sources considered ,DRG NO.DMU/DPC-O-3-009 ,No,,,,,,,DEMU 700 DEMU 700 ,
,,,,,,,,,,,
,POH kit Equalising discharge WSF make items per detailed part list given annexure mailed mail id ,,No,,,,,,,set 22 ,
,,,,,,,,,,,
,Door flap BOBRN wagon ,Drg.No WD-91071-,No,,,,,Alt nil latest Item.01 ,,RDSO 66 ,
,,,,,,,,,,,
,BRACKET FOR ANCHOR LINK TO ICF ,DRG NO T-0-4-613.,No,,,,,,,II.AIT-q 10 ,
,,,,,,,,,,,
,Bogie frame arrangement EMU Trailer KN Air spring ,Drg No ICF/MRVC/D-0-3-001 ,No,,,,,alt-1 ,,Coaches 180 Coaches 150 ICF 1 ,
,,,,,,,,,,,
,BOGIE FRAME ARRANGEMENT FOR COACHES TO BOGIE FRAME ARRANGEMENT FOR DEMU 700hp COACHES TO ICF COL-I approved sources considered ,DRG NO.DMU/DPC-O-3-009 ,No,,,,,,,DEMU 700 DEMU 700 ,
,,,,,,,,,,,
,Alloy Legged Chain sling degree dia mtr length master Ton Capacity eye hook bottom Test Certificate Govt Approved agency Specification chain ISI marked ,,No,,,,,,,steel 4 capacity 20 Ton 0 leg 12 x 2.5 ring 250 top 5 chain 6215 ,
,,,,,,,,,,,
,Supply Installation Electrical Gantry Tons Capacity INDEF Make Model Similar Features Hoist Planetary gear box smooth low noise Compact gear box inside Gear Overload Rugged ring type rope Optional rotary limit Electronic magnetic brake Seamless tube drums Description 1 7.5 2 3 Drum 4 Class 5 6 Wire rope 7 Hoisting 8 Hoisting motor KW Travelling speed Travelling motor Head Flange ISMB Approx Weight Hoist 15 Approx weight Scope supply include 1 Trolley 2 Bogie trolley 3 Geared Rotary limit switch including erection commissioning 4 CT limit switch 5 master 6 7 Festooning ADC required standard M P conditions applicable M P Condition attached ,,No,,,,,,,Hoist 7.5 No 4 M 1 Hoist 1 operation 2 drum 3 coupling 4 sensor 5 guide 6 switch 7 motor 8 Unit 1 SWL 7.5 Ton 2 Lift 10.5 10.5Mtr 3 length 695 695mm 4 II 5 falls 2 2falls 6 dia 18 18mm 7 speed 8.2 8.2mtr/min 8 KW 15 KW 9 speed 17 17mtr/min 10 motor 0.55 0.55KW 02 02 11 room 1860 1860mm 12 width 125 width 210 125-210mm 13 min 250 min 600 250-600mm 14 Hoist 480 480kg 15 trolley 140 following 1 Brake 2 trolley 3 commissioning 4 switch 5 contactor 6 P.B 7 cable 20 ,
,,,,,,,,,,,
,LaserJet printer equivalent Model HP LaserJet Printer series Similar Model Print speed ISO Up 1200 dpl Black Best Up x dpl Black MB LCD Text Duty per month RMPV Up Make HP CANON SAMSUNG ,,No,,,,,,,"PRO 202 PRO 203 Up 26 Up 25 ppm 4 Up 1200 x 1200 Up 4800 x 600 Normal 750 MHZ 128 RAM 2 Cycle 15 Cycle 000 Up 250 250 2 250 000 2,000 2 pages2 1 USB 2.0 2.0 1 Ethernet 10 Ethernet 100 ",
,,,,,,,,,,,
,POH Kit isolating valve reducing valve WSF make Brake Valve Set Hardware Items per detailed list attached ,,No,,,,,,,consists 29 ,
,,,,,,,,,,,
,Alloy Legged Chain sling degree dia mtr length master Ton Capacity eye hook bottom Test Certificate Govt Approved agency Specification chain ISI marked ,,No,,,,,,,steel 4 capacity 20 Ton 0 leg 12 x 2.5 ring 250 top 5 chain 6215 ,
,,,,,,,,,,,
,Rubber ring Cummins Part equivalent FP diesel diesel ,,No,,,,,,,No 3872271 ,
,,,,,,,,,,,
,head complete mounting system outer head stock conventional SG Coaches SS.Hex head screw IS M16 IS 1367 Part-14 IS 3 Spring IS ,,No,,,,,,,consisting 3 items 1 screw 16 x 75 75 2 75 70 IS 1367 1367 14 IS 1364 Part 2 -2 2002 -2002 2 Nut 16 M16 2 M16 7 IS 1367 1367 14 IS 7002 IS 2005 7002-2005 3 washer 16 IS 3063 IS 1994 Coating 057 ,
,,,,,,,,,,,
,BOGIE FRAME ARRANGEMENT FOR EMU TRAILER KN AIR SPRING TO ,DRG NO ICF/MRVC/D-0-3-001 ,No,,,,,ALT-A ,,COACHES 180 COACHES 150 ICF 1 ,
,,,,,,,,,,,
,BOGIE FRAME ARRANGEMENT FOR AIR SPRING SUSPENSION BOGIE FOR AERO DYNAMIC COACHES TO ,DRG NO.DMU/DPC5-0-3-501 ,No,,,,,ALT-W/5 ,,DEMU 1400 ,
,,,,,,,,,,,
,Sticker Indicating Hindi Letters vertically Emergency Window Material Letters Night Glow Red Colour As per Sample Arrow indication directed consignee ,,No,,,,,,,Size 43 X 455 ,
,,,,,,,,,,,
,LaserJet printer equivalent Model HP LaserJet Printer series Similar Model Print speed ISO Up 1200 dpl Black Best Up x dpl Black MB LCD Text Duty per month RMPV Up Make HP CANON SAMSUNG ,,No,,,,,,,"PRO 202 PRO 203 Up 26 Up 25 ppm 4 Up 1200 x 1200 Up 4800 x 600 Normal 750 MHZ 128 RAM 2 Cycle 15 Cycle 000 Up 250 250 2 250 000 2,000 2 pages2 1 USB 2.0 2.0 1 Ethernet 10 Ethernet 100 ",
,,,,,,,,,,,
,BOGIE FRAME ARRANGEMENT FOR COACHES TO ,DRG NO DMU/DPC-0-3-009 ,No,,,,,ALT-F ,,DEMU 700 ,
,,,,,,,,,,,
,Black magnetic particle micron magnetic particle testing MPT non florescent ml aerosol net RDSO spcn No Latest Brand PMC equivalent ,,No,,,,,,rev 2007 ,size 20 method 500 quantity 400 M 8 M 109 ,
,,,,,,,,,,,
,Wet Dry Manual adjustable telescopic pole handle aluminum powder coated blended synthetic cotton yean set make clean past similar Additional spares refill part No MOPS ideal dry wet It Should contain electrostatic properties cling fine dust mop Telescopic handle enable height adjustment 1 MOP made blend natural synthetic fibers ensures dust free sweeping Swivel base allow user rotate mop EZC CLEAN WET AND DRY MOP WET DRY MOP POLE adjustment feature minimum meters ,,No,,,,,,,mop 50 roots 2 No 559260002 No 558260048 Specifications 1 mopping 2 mop 3 anywhere 1 1 1.8 to1.8meters 4 sweeping 5 mop 180 degrees 6 PLUS 50 requirement 1.0 1.0 1.8 ,
,,,,,,,,,,,
,Supply installation mobile Compactors Set Per specification enclosed MAKE Godrej similar Nilkamal Featherlite ,,No,,,,,,,,
,,,,,,,,,,,
,Hose ID Specification Minimum meters ,,No,,,,,,,Flexible 7 Flexible 8 SAE 100 100 5 length 30 ,
,,,,,,,,,,,
,Buffer height gauge Equivalent model Ganapathy industries Chennai CBC suitable measuring height CBC fitted BG wagons measured top surface rail Measuring measuring supply calibration certificate NABL approved lab packed wooden carrying box Material tool steel HRC ,,No,,,,,,,BHG 1 range 900 900mm 1150 accuracy -1.0 IS 3748 IS 90 hardness 50 hardness 55 ,
,,,,,,,,,,,
,Office table Similar Godrej make modal MAKE Godrej Nikamal featherlite Dimensions Width b Depth Height contain two sets storage one Box one file drawer unit Shall tubular Shall inter locked welded joints modesty panel PVC edge bonded laminated Steel parts shall undergo electro static painting alkali amino enamel scratch free ADC required ,,No,,,,,,,Table 104 Specifications 1 W 1665 D 900 H 750 750mm 2 One 03 unit 3 frame 4 top 5 surface 6 ,
,,,,,,,,,,,
,Wheel distance measuring gauge fitted Vernier scale analog With ISI Marked spirit level Measuring measuring carriage wagon packed carrying wooden box supply calibration certificate NABL approved lab Material tool steel ,,No,,,,,,,type 3651 Part 02 02 1985 LC 0.02 range 1590 1590mm 1610 accuracy -0.10 IS 3748 IS 90 Hardness 50 Hardness 55 ,
,,,,,,,,,,,
,Hose ID Specification Minimum meters ,,No,,,,,,,Flexible 7 Flexible 8 SAE 100 100 5 length 30 ,
,,,,,,,,,,,
,Solenoid Coil Brake Coil Coil Make BCH Model Similar ,,No,,,,,,,voltage 415 415 440 No 50 No 21 ,
,,,,,,,,,,,
,Supply conductor Berth ICF procured RDSO Approved sources per vendor Note Offers RDSO Approved sources considered ,Drg.No WGSCWAC-6-1-029 ,No,,item No 65 ,,,,,directory .7 directory .1 directory .1 page 57 57 221 ,
,,,,,,,,,,,
,Solenoid Coil Brake Coil Coil Make BCH Model Similar ,,No,,,,,,,voltage 415 415 440 No 50 No 21 ,
,,,,,,,,,,,
,BOGIE FRAME ARRANGEMENT FOR AIR SPRING SUSPENSION BOGIE FOR AERO DYNAMIC COACHES TO ,DRG NO.DMU/DPC 5-0-3-501 ,No,,,,,ALT-W/5 ,,DEMU 1400 ,
,,,,,,,,,,,
,Visitor Cantilevered Chair without arms similar Godrej make model MAKE Godrej Nilkamal Featherlite Dimensions Width b Depth Height Seat Height Chair provided Center Tilt mechanism b Tilt c. Swivel d. percent VOC free powder ADC required ,,No,,,,,,,Regency 7004 Specifications 1 W 525 D 610 H 805 SH 460 SH 585 460-585mm 2 d. 100 coating 3 ,
,,,,,,,,,,,
,DOOR Personal Storage locker Base unit units MAKE Godrej similar Nilkamal Featherlite Specifications ,,No,,,,,,,enclosed 06 along 02 02nos 06 ,
,,,,,,,,,,,
,Office Table Similar Godrej Make CPU Nilkamal Featherlite Dimensions Width b Depth Height Table Should Provided Wooden modesty panel b Slots top frame passage c. A CPU hanger Should drawer unit lock ADC required ,,No,,,,,,,Modal .1500 Specifications 1 W 1500 D 750 H 728 728mm 2 contain 03 facility 3 ,
,,,,,,,,,,,
,SR Solution Make Fevicol Jivanjor Wood touch ,,No,,,,,,,,
,,,,,,,,,,,
,Earth made zinc coated steel copper plated jaws suitable copper mesh jaw MAKE ESAB similar ,,No,,,,,,,clamp 600 opening 60 ,
,,,,,,,,,,,
,White contrast paint detect surface crack detect magnetic particle testing metal spray system net ml RDSO Spc latest ,,No,,,,,,,method 500 No 5044 BS-5044 1973 ,Qty 400
,,,,,,,,,,,
,BOGIE FRAME ARRANGEMENT FOR SELF GENERATION AC COACHES WITH LONGITUDINAL FOR BMBS TO SMALL ,DRG NO.WTAC-0-3-402 ,No,,,,,ALT-1 ,,l 3 ,
,,,,,,,,,,,
,Set Spares ASKA make Tower Lights Each Set Consisting following items SL Description Element filter Description item Air Blower Nos Description item Fuel Pipeline Qty Nos Description item Kit Carburetor Qty 01 Nos Part Description item Carburetor Qty 01 Nos Part Description item Vibration Pad Engine Qty 02 Nos ,,No,,,,,,,NO 1 1.Part 492889 Nos 2 2.Part 50007 Qty 02 Nos 3 3.Part 2024 Qty 01 Nos 4 Part 498260 Qty 01 Nos 5 Part 496863 Qty 01 Nos 6 Part 2025 Qty 02 ,Qty 02 
,,,,,,,,,,,
,Alloy Steel UJ Cross cup Needle Bearings dia length X 168 suitable cardon shaft Traverser Unique Handlers OEM Authorized Dealers quote valid certificate ,,No,,,,,,,size 59 X 168 VS 59 X 168 cap 70 ,
,,,,,,,,,,,
,BATTERY BOX COMPLETE FOR MAINTENANCE FREE BATTERIES VRLA BATTERIES NPP SIDE FOR SG AC COACHES TO RCF ,DRG NO CC 91170 ,No,,,,,ALT-F ,,,
,,,,,,,,,,,
,SHORT BODY BIB COCK AS PER JAQUAR MODEL HINDWARE Goldline Model FOAM TYPE ,,No,,,,,,,NO 54 No 21 ,
,,,,,,,,,,,
,BATTERY BOX COMPLETE FOR MAINTENANCE FREE BATTERIES VRLA BATTERIES NPP SIDE FOR SG AC COACHES TO RCF ,DRG NO CC 91170 ,No,,,,,ALT-F ,,,
,,,,,,,,,,,
,Taper Lock Bush Chicago Pneumatic Air Compressor OEM Part ,,No,,,,,,,No 1903672103 ,
,,,,,,,,,,,
,Liquefied petroleum gas LPG metal cutting per kgs capacity returnable supply effected cylinders ,,No,,,,,,,IS 4576 IS 1999 Reaffirmed 2009 2009 19 May 17 March 18 approx 20 ,
,,,,,,,,,,,
,Executive Executive Revolving Chair High Back Similar Godrej make model MAKE Godrej Nilkamal Featherlite Dimensions Width b Depth 750mm Height Seat Height The Table shall provided Center Tilt mechanism b Tilt c. Moulded d. Pneumatic height Swivel Twin wheel percent VOC free powder ADC required ,,No,,,,,,,Regency 7001 Specifications 1 W 750 D 750 H 1060 H 1175 SH 460 SH 585 460-585mm 2 castors 3 3 100 coating 4 ,
,,,,,,,,,,,
,DOOR BOOKCASE NEW WITHOUT TOP SIMILER TO GODREJ MAKE OR NIKAMAL OR FEATHERLITE Dimensions approx Width b Depth c Height Should made CRCA steel anti rust Should equalizing mechanism easy opening closing 4 Should lever cam Prince Grey two tone colour Beige ADC ,,No,,,,,,,required 4 SPECIFICATIONS 1 W 914 D 320 H 1742 1742mm 2 treatment 3 bookcase 4 provided 10 lock 5 Russet 6 ,
,,,,,,,,,,,
,Supply installation commissioning air CFM capacity per along air liters capacity Technical specification attached ,,No,,,,,,,compressor 53 IS 5456 receiver 1000 ,
,,,,,,,,,,,
,G type door gear complete set Aluminium top amount feet 2 Sliding door fitting Ball bearing type ,,No,,,,,,,consisting 2 items 1 channel 2 thickness 6 length 2 ,
,,,,,,,,,,,
,Desktop computer preloaded operating system equivalent model MT HP following Specifications Processor Intel Hard 3 Year site Make HP DELL LENOVO ,,No,,,,,,,No 280 280 2 Core 3 i3 6 Gen 2 RAM 4 4GB 3 Disk 500 GB 4 4.Monitor 18.5 LED 5 RW 6 6.Network 10 6.Network 100 6.Network 1000 Ethernet 7 Windows 10 Pro 8 Mouse 9 9.Warranty 3 ,
,,,,,,,,,,,
,Supply current collectors suitable shrouded DSL Aluminium Bus Bar RYBG system per Specification Amps Current Make NBM Insdustries Material Aluminium Dual Current collector Cable Collector movement /- Mounting squar Mounting distance conductor contact /- Spring loaded contacts springs non rusting Stainless Sintered copper Shoe Holder Structure Metalic ,,No,,,,,,,type 315 For 250 collector 1 Model 250 Similar 2 similar 3 arm 4 rating 250 250Amps 5 length 02 cables 1.5 Mtr 6 /- 200 /- 60 60mm 7 Bracket 25 bar 8 surface 127 /- 5 5mm 9 steel 10 shoe 250 250A 11 ABC 12 ,
,,,,,,,,,,,
,CONTACTOR Chicago Pneumatic Make Air Compressor Model OEM Part No ,,No,,,,,,,CPC 60 No 193 ,
,,,,,,,,,,,
,Main Bearing Chicago Pneumatic Air Compressor OEM Part ,,No,,,,,,,No 1901000051 ,
,,,,,,,,,,,
,Center pivot liner BLC Wagon ,Drg.No CONTR 9404-,No,,Item No.3 ,,,Alt-8 ,,RDSO 5 ,
,,,,,,,,,,,
,BOGIE BOLSTER ARRANGEMENT FOR AC COACHES TO FROM APPROVED SOURCES OF ICF ,DRG.NO -WLRRM-0-4-003 ,No,,,,,ALT-F/4 ,,,
,,,,,,,,,,,
,Maintenance Kit WSF Make EP Brake controller items per attachement attachement mailed firm PAC item since IREPS program accepting uploading documents ,,No,,,,,,,consisting 20 ,
,,,,,,,,,,,
,Bogie frame arrangement EMU Trailer KN Air spring ,Drg No ICF/MRVC/D-0-3-001 ,No,,,,,alt-1 ,,Coaches 180 Coaches 150 ICF 1 ,
,,,,,,,,,,,
,Liquefied petroleum gas LPG metal cutting per kgs capacity returnable supply effected cylinders ,,No,,,,,,,IS 4576 IS 1999 Reaffirmed 2009 2009 19 May 17 March 18 approx 20 ,
,,,,,,,,,,,
,Operating shaft BOBRN wagon ,Drg.No WD-92081-,No,,Item No 09 ,,,,,RDSO 59 ,
,,,,,,,,,,,
,Supply conductor Berth ICF procured RDSO Approved sources per vendor Note Offers RDSO Approved sources considered ,Drg.No WGSCWAC-6-1-029 ,No,,item No 65 ,,,,,directory .7 directory .1 directory .1 page 57 57 221 ,
,,,,,,,,,,,
,Outer Head Gasket HP Chicago Pneumatic Air Compressor OEM Part ,,No,,,,,,,No 1903108408 ,
,,,,,,,,,,,
,Wearing plate side bearer latest ,Drg.No T-0-5-648 ,No,,,,,,,,
,,,,,,,,,,,
,Supply assembling single cot X Minimum ground clearance fit storage box along mosquito net frame detachable provision mosquito net frame also attached storage box Specification attached ,,No,,,,,,,size 75 X 36 X 18 ,
,,,,,,,,,,,
,Roller BOBRN wagon ,Drg.No WD-89007-,No,,Item No.02 ,,,,,RDSO 71 ,
,,,,,,,,,,,
,Diffuser complete FTL fitting LHB coaches RCF Drawing ,,Yes,,,,,Alt B ,,LW 76012 ,
,,,,,,,,,,,
,Connecting Rod Bolts Chicago Pneumatic Air Compressor OEM Part ,,No,,,,,,,No 1903303604 ,
,,,,,,,,,,,
,LOWER SPRING BEAM ARRANGEMENT AC COACHES TO LOWER SPRING BEAM ARRANGEMENT FOR SELF-GENERATION AC COACHES TO ICF COL-1 E FROM APPROVED SOURCES ONLY ,DRG .NO WLRRM-0-5-006 ,No,,,,,,,ICF 1 ICF 1 ,
,,,,,,,,,,,
,Supply PVC shrouded DSL Aluminium Bus Bar RYBG accessories Specification attached ,,No,,,,,,,type 315 ,
,,,,,,,,,,,
,Magnetic white writing Board Aluminium frame four heavy duty corners back side board tripod stand MS Powder coating height adjustable clamps non skid rubber pads extra holes adjustable height Model No TUMBI ,,No,,,,,,,Size 3 x 4 4 900 X 1200 height 5 ATRP 12090 ,
,,,,,,,,,,,
,Supply stainless steel auxiliary roof water tank AC Coaches roof mounted AC package unit ,Drg.No.ICF/SK-6-3-446 ,No,,,,,Alt-c/nil ,,,
,,,,,,,,,,,
,Center pivot ring BLC ,Drg.No.CONTR 9404-,No,,Item No.4 ,,,Alt-8 ,,wagon 5 ,
,,,,,,,,,,,
,Dust bin composite modular toilet AC coaches ,,No,,,,SK.NO.K2036 ,Alt-1 ,,RDSO 1 ,
,,,,,,,,,,,
,Oil Wipre Ring HX Chicago Pneumatic Air Compressor OEM Part ,,No,,,,,,,No 1903145908 ,
,,,,,,,,,,,
,Big End Bearing Chicago Pneumatic Air Compressor OEM Part ,,No,,,,,,,No 1901000053 ,
,,,,,,,,,,,
,SAFETY LUG FOR AXLE BOX TO OF ICF ,DRG NO T-0-1-647 ,No,,,,,,,,
,,,,,,,,,,,
,Forged door hinge latest BOBRN Wagon ,Drg.No WD-91071-,No,,Item No 9 ,,,ALT 9 ,,RDSO 66 ,
,,,,,,,,,,,
,Connecting link large bushes BOBRN wagon ,Drg.No WD-92081-,No,,ITEM No.11 ,,,,,rdso 57 ,
,,,,,,,,,,,
,Door flap BOBRN wagon ,Drg.No WD-91071-,No,,,,,Alt nil latest Item.01 ,,RDSO 66 ,
,,,,,,,,,,,
,Safety bracket pin Roller BOBRN wagon ,Drg.No WD-89007-,No,,Item No.12 ,,,,,RDSO 71 ,
,,,,,,,,,,,
,Bogie frame arrangement HP Coaches ,Drg No DMU/DPC/-0-3-009 ,No,,,,,alt ,,DEMU 700 ICF 1 ,
,,,,,,,,,,,
,Sofa 1 made teak wood design back top handles fine polished along 3 1 1 sponge thick back rest thick cloth cover center table Sofa seat covers ,,No,,,,,,,set 3 3 1 1 1 bottom 3 3 1 1 1 cushion 80 rest 40 ,
,,,,,,,,,,,
,WOODEN WEDGE TO DRG ATTACHED ,DRG.NO.C/ELS/LGD/GENL/3/19.,No,,,,,,,,
,,,,,,,,,,,
,SET OVERHAULING KIT FOR HOLDING ESCORT MAGNET VALVE TO EP VT CONSISTING OF SEALING 3 O RING x NOS 4 A NO 5 FILTER 4 A 2 NO ,,No,,,,,,,UNIT 207 EV207 3 OF 5 ITEMS 1 A 30 x 36 DIN 7603 7603 2 NO 2 K-RING 890 K-RING 20 N890/20 1 N890/20 2 NOS 3 RING 16 x 2.5 BDIN 3770 BDIN 2 NOS 4 FILTER 4 A 37470 37470 1 NO 5 FILTER 4 A 43212 43212 2 ,
,,,,,,,,,,,
,Outer Head Gasket LP Chicago Pneumatic Air Compressor OEM Part ,,No,,,,,,,No 1903108508 ,
,,,,,,,,,,,
,Steel almirah equivalent Model STOREWEL PLAIN Godrej following Specifications Make GODREJ FEATHERLITE METHODEX Height Width approx Depth approx Gauge body Gauge double door twenty No Construction Knock Construction Colour Grey ,,No,,,,,,,approx 1981 approx 916 approx 486 doors 20 Shelves/Compartments 05 ,
