DRG._NUMBER,ALT_NUMBER,SPEC_NUMBER,ITEM_NUMBER,AMENDMENT_NO,SK_NUMBER,QUANTITY,REV_NUMBER,REST_DATA
,,,,,,,,SS.Hex head screw complete mounting DRDE Bio-Digester system outer head stock conventional SG Coaches consisting 3 items 1 SS.Hex head screw M16 x 75 A2-70 IS 1367 Part-14 IS 1364 Part -2 -2002 2 SS.Nylock Nut M16 A2-7 IS 1367 Part-14 IS 7002-2005 3 Spring washer B16 IS 3063-1994 Coating MDTS-057 
,,,,,SKAR ELGI OEM S Authorised dealers quote valid certificate ,,,Air Filter CP Part No 2205116401 suitable Chicago Pneumatic Screw Air Compresor 76 CFM Model CPB25 MakeL CP KIRLO 
,,,,,,,,Grease Nipple A30-DIN71412 schaku coupler 
,,,,,,,,Rear end oil seal Part No 73DE0019 suit Simpson Engine Model S4ee Godrej Forklift Trucks Model GX-300D Simpson/Godrej Authorised Dealer Certificate enclosed 
Drg No T-5-5-527 ,,,,,,,,Rubber Buffer Lavatory window per ICF 
,,,,,,,,Supply installation heavy duty adjustable pallet racks size 2500mm Height x 800mm depth x 2000mm Length along test certificate NABL accrediated lab Confirming European Standards design IS Specification stocking items per detailed description attached 
Drg.No WD-93061-,Alt-1 ,Specn 19-ABR-07 ,Item No.4 ,amendment 2 ,,,,Control rod IRSA 750 SAB RDSO S-02 confirming No 
Drg.No.W/DW-297 ,ALT.1 ,,,,,,,Flap Door Chainless cotter BOXNHL wagon RDSO 
,,,,,,,,Modified restrictor CBC SLR per RDSO Drawing No.CG-10063 Specification IS 8500-1991 Gr Fe-540 
,,,,,,,,ISI marked pipe wrench stillson type per IS 4003 I 1978 450mm/18 percent u201D length maximum opening 60mm approx Taparia make equivalent Everest Mekaster 
,,,,,,,,PVC 40mm casing caping per IS 14927 part 2 Makes SGL JUVAS MODI Sudhakar AGK Note OEMS authorized dealer quote along authorization certificate Firms mention details make/model item shall enclose relevant technical leaflet 
,,,,,skar/Gardaner Denver OEM authorized dealers quaote valid certificate ,,,Thermostat valve kit stock code P2205490592 suitable Chicago Pneumatic screw Air Compressor model CPD 75 Make Chicago Pneumatic/Krilo 
,,,,,,,,Polyster heavy duty Road endless sling capacity 03 tones length 1.8 meters anti abrasive cover along OEMs test certificate ratio 5:1 Make Slingset Samson Ferre terro Spanset 
,,,,,,,,Key Wood Ruf ELGI part No.070401790 ELGI make Air Compressor model TRC 2507 Note OEM/Authorised dealers ELGI need quote 
Drg.no ICF/SK-4-2-097 ,alt-nil Note Offers ICF approved sources considered ,,,,,,,Lavatory Air Exhauster Non-AC coaches ICF Col-I 
Drg.No.ICF/STD-6-3-106 ,Alt-nil Note -Offers ICF Approved sources considered ,,,,,,,Controlled discharge Flush Valve Assembly ICF Col-I 
Drg No.SK-98003 ,Alt.Nil.Note -Offers RDSO Approved vendors considered ,,,Amendment No.03 ,,,,Drain cock Assembly Auxiliary Reservoir 200 litres conforming RDSO spec No.02-ABR-02 April 2010 Appendix-C RDSO 
,Alt 02 ,,,,SK-10-2-420 ,,Rev No 02 ,1/2 inch Isolating cock vent special handles M/s Escorts Part No 3KB 1089 M/s WSF Part No IB-70372 similar per ICF Specification No ICF/ 
,,,,,,,,Short Body Bib cock per Jaquar Model No CON-54 Hindware Foam type 
,,,,,,,,Maintenance Trouble shooting Rubber kit suitable Faively make C3W Inbuilt Relay Valve consisting 21 items per enclosed Annexure 
,,,,,,,,Contact spring complete brake isolating valve brake controller WSF make per WSF part No A83929/1 
,,,,,,,,Commode Seat Cover bracket W.C. Steel G.I Coated 
Drg.No RITES/TP 9405-,Alt 9 ,,Item No.9 ,,,,,Yoke support plate S-001 Or latest Ref.Drg.No WD 80007-S-14 Item-6 Alt.22 
Drg.No.SC/Chg/Misc/01/2015 ,,,,,,,Rev.00 ,Vinyle stickers passted Acrylic sheet Transparent coaches per S.No.5 
Drg.No.SC/Chg/Misc./01/2015 ,,,,,,,Rev.00 ,Vinyle stickers pasted Acrylic sheet Transparent coaches per S.No.10 
Drg.No.SC/Chg/Misc./01/2015 ,,,,,,,Rev.00 ,Vinyle stickers pasted Acrylic sheet Transparent coaches per S.No.11 
Drg No M C W. LTT Soap container casing dt 15.10.2007 ,,,,,,,,Liquid soap container covers made 3 Acrylic sheet per central railway 
Drg No.CONTR-9404-,Alt.12 ,,"Item Nos 4,5 6 7 ",,,,,Liner set sider bearer BLC wagon S-15 latest 
,,,,,,,,ISI MARKED STEEL MEASURING TAPE OF 3 METER LENGTH CLASS-1 AS PER IS 1269 PART-2 1997 TYPE OF CASING STAINLESS STEEL.Make Freeman BOSCH Panther 
,,,,,,,,Digital Lux Meter Model KM-Lux-99 Of make KUSAM-MECO similar specification attached 
,,,,,,,,Contact spring complete brake isolating valve brake controller WSF make per WSF part No A83929/1 
,,,,,,,,Pinion Shaft ring Gear Transmission suit godrej part NO 02057958 For use Godrej Fork lift Model GX 300D 
Drg.No.SC/Chg/Misc./01/2015 ,,,,,,,Rev.00 ,Vinyle stickers pasted Acrylic sheet Transparent coaches per S.No.11 
,,,,,sket remover remover defective gasket Regulator Pre-cooling transformer alternator Technical specifications -Appearance Viscous opaque liquid Specific Gravity @ 20 @ ,,,Rubber GaC 1.24 Boiling Range solvents 40 degree C-210 degreeC Freezing point 20 degree C Flash Point Non-flammable Mixture pH Neutral Viscosity 80mPa.s Kauri-Butanol value /- 130 Specific Gravity 0.93 Solubility Soluble water flash Point gt 70 degree C. Make CRC/CYCLO/STANVAC/EPIGEN Only authorized dealers quote OEMs authorized dealer mention details make/model item shall enclose relevant technical leaflet 
,,,,,,,,Geared Coupling Full geared Size 250mm OD suitable Traverser 70 Ton Cap Model B-066 M/s Unique Indusrial Handlers make Make UNIQUE/COUPCO/FENNER/SRUSHTHI 
,,,,,,,,POH KIT FOR APPLICATION AND HOLDING MAGNET VALVE OF WSF MAKE EP BRAKE VALVE CONSISTING OF 12 ITEMS AS PER DETAILED PART LIST MENTIONED OVERLEAF 
Drg.No ICF/STD-4-3-017 ,Alt-a ,,,,,,,Stainless steel angle moulding 1x47x2000mm Total 22 holes dia 5mm provided equally spaced distance 195mm ICF Item-3 
,,,,,,,,Non metalic asbestos sheet champion style 54 equivalent Spitman Brand size 5 x 5 x 2mm thickness Max temperature 550 Degrees C Max pressure 40Kg/sqcm Specification compliance IS2712-1998 Make Champion/Spitman/Interface brand The supplied asbestos sheet soft foldable brittle/hard Note -Make/brands specified alongwith offers otherwise athe offers passed 
Drg.No WGSCWAC-6-1-029 ,,,item No 65 ,,,,,Supply conductor Berth ICF Note -To procured RDSO Approved sources per vendor directory AM-M.7.1.1 page 57 221 
Drg.no.ICF/SK-5-4-279 ,alt-e ,,,,,,,Sealed Window unit 1220x560mm Emergency window ICF Col-I 
,,,,,,,,Pillar cock size 15mm Foam flow type Body brass chrome plated per Gold Line Model No EZZE/EZ-11 Hindware Model No F280001 Jaquar Model No FL-11 Make GOLDLINE/JAQUAR/HINDWARE 
,,,,,,,,Friction shoe wear gauge CASNUB 22 W percent u2013 W M percent u2013 NL NLB HS bogies Fig No.44 RDSO G-95 manual 
,,,,,,,,Mosquito/Fly catcher Specifications 1.Power consumption 40W approx 2 UV Lamps Two tubes 2feet 3 Dimensions 650mm x 660mm approx Equivalent Model No.SMM001 SAMSON Make SAMSON WANTRN FLYNIL PADMINI 
Drg.No.ICF/SK-6-3-446 ,Alt-c/nil ,,,,,,,Supply stainless steel auxiliary roof water tank AC Coaches roof mounted AC package unit ICF Col.I 
,,,,,,,,Supply installation commissioning air compressor 53 CFM capacity per IS 5456 along air receiver 1000 liters capacity Technical specification attached 
,,,,,,,,Mini cabinet electrode drying oven equivalent Model No.HIEC:500 III make Haridas Technical specifications enclosed 
,,,,,,,,Pedestal crown roof gauge Fig.No.27 W WM CASNUB 22 w -22 WM Ref.Fig.No.27 RDSO G-95 manual 
,,,,,,,,Curtain ring made plastic size 1inch inner diameter Colour Brown 
Drg No WD-90002-,,Specn.No.07 ABR-1992 ,,Amendment No 04 ,,,,Control rod head complete SAB type IRSA 600J conforming RDSO 
,,,,,,,,Gauge checking combined wear bolster side frame liner wedge.ref.fig .No.4.10 RITES manual BLC wagon 
Drg No pc-491 ,,,,,Sk-10-2-420 ,,Rev.No 2 ,1/2 inch Release valve type-H M/s Escorts part No 4a16014/2 WSF M/s FTRTIL Drg.No A30760633 M/s SIL Drg.no 2969012010 M/s KBI Drg.No C152979 conforming ICF Spec.No ICF/ 
Drg.No WGSCWAC-6-1-029 ,,,item No 65 ,,,,,Supply conductor Berth ICF Note -To procured RDSO Approved sources per vendor directory AM-M.7.1.1 page 57 221 
,Alt 02 ,,,,SK-10-2-420 ,,Rev No 02 ,1/2 inch Isolating cock vent special handles M/s Escorts Part No 3KB 1089 M/s WSF Part No IB-70372 similar per ICF Specification No ICF/ 
Drg.No.WD-92081-,Alt-10 ,,,,,,,Eye bolt nut RDSO S-57 Item-2 Bush Drg.No.WD-92081-S-58 Item-2 Alt-3 
,,,,,,,,"Supply installation 12v,50A SMPS battery charger suitable charging batteries fork lift truck lister trucks etc Specification attached "
,,,,,,,,Torque wrench 14-56 KGF/M Ratchet similar Model TW 400R make MACMASTER Make TORQUE MASTER MAC MASTER 
,,,,,,,,PERMANENT MAGNETIC YOKE WITH LIFTING CAPACITY 18.5 KGS ALONG WITH TEST CALIBRATION CERTIFICATE FROM GOVT.APPROVED SOURCES VALID FOR ONE YEAR SPECIFICATION Minimum lifting capacity maximum pole spacing 18.5 kgs Max.pole distance 150mm plus minus 1o Min pole distance 75 plus minus 10 
,,,,,,,,GI Hex head bolt size M6 X 60 suitable Nut 01No Washer-01No Each Kg consists approx 50Nos 
,,,,,,,,Feeler gauges set percent u2013 consists size one number Size percent u2013 0.50mm percent u2013 1.0mm 2.0mm percent u2013 3.0mm percent u2013 4.0mm percent u2013 5.0mm 6.0mm percent u2013 7.0mm percent u2013 8.0mm percent u2013 9.0mm percent u2013 10.0mm 12mm Each size percent u2013 200mm long 
,,,,,,,,2000 litres Air receiver maximum 10Kg/Sq.cm working pressure along test certificate accessories per IS 2062 specifications List accessories specifications enclosed 
,,,,,,,,PERMANENT MAGNETIC YOKE WITH LIFTING CAPACITY 18.5 KGS ALONG WITH TEST CALIBRATION CERTIFICATE FROM GOVT.APPROVED SOURCES VALID FOR ONE YEAR SPECIFICATION Minimum lifting capacity maximum pole spacing 18.5 kgs Max.pole distance 150mm plus minus 1o Min pole distance 75 plus minus 10 
,,,,,,,,Coach attention verification system RFTID BASED comprising 3 items Specification attached 
,,,,,sket plastic upper dia 27,,,Waste paper bacms bottom dia 19 cms height 30 cms upper frame flat 1 width minimum 2 thickness sheet mesh upto 3/4 portion 
,,,,,,,,Pedestal crown roof gauge fig No.4.21 RITES manual BLC wagons 
,,,,,,,,Toshiba Tonner model e Studio 225/226 Toner xerox machine Toshiba make model e studio 225/226 
,,,,,,,,Maintenance kit HATZ Diesel Power Pack Ref.No.17098000 
,,,,,sk system use crew lobbies SNF BIDAR PRLI CT It consists 1 ,,,Supply installation commissioning Breath Analyzers Bio-metric devices retro fitment existing CRIS CMS KioBreath analyzer Model KATS equivalent make/model 2 Biometric module Make Secugen Netgen Bio Enable make reputed OEM make/Model The item shall suitable retro fitment existing CRIS CMS Kiosk systems Necessary specification item enclosed 
,,,,,,,,Center pivot gauge fig.No.4.16 RITES manual BLC wagons 
Drg.no RDSO- WD- 89060-,Alt.05.,,,,,,,Profile checking gauge female BG wagons size- flange thickness 25 Ref.S/2 Material tool steel IS 3748/90 hardness 50/55 HRC 
Drg.No CONTR 9404-,Alt-8 ,,Item No.3 ,,,,,Center pivot liner BLC Wagon RDSO S/5 
Drg.No.CONTR 9404-,Alt-8 ,,Item No.4 ,,,,,Center pivot ring BLC wagon S/5 
,,,,,,,,Column gib gauge fig.No.4.13 RITES manual BLC wagon 
,,,,,,,,Contour wron limit gauge No.02 Ref RDSO- G 80 Manual 
Drg.No RDSO-WD-89060-,alt.05 ,,,,,,,Profile checking gauge female BG wagons size flange thickness 22 ref.S/2 Material tool steel IS 3748/90 hardness 50/55 HRC 
,,,,,,,,Contour worn limit gauge No.1 Ref RDSO- G 80 manual 
Drg.No RDSO WD- 89060-,alt.05 ,,,,,,,Profile checking gauge female BG wagons size flange thickness 20 Ref S/2 material tool steel IS 3748/90 Hardness 50/55 HRC 
Drg.No.ICF/STD-6-3-106 ,Alt-nil Note -Offers ICF Approved sources considered ,,,,,,,Controlled discharge Flush Valve Assembly ICF Col-I 
,,,,,,,,Mini cabinet electrode drying oven equipment model HIEC:500 III make Haridas specification enclosed 
,,,,,,,,Poly Grass mat soft type red colour size 0.61 meter x 15 meters per roll make Duro soft /Ultimate/Prestige Specification 1 PVC Synthaeic material 2 loop Dia 0.6 3 Thickness base 2 4 Total Thickness 12 Approx plus minus 2 
Drg.No RDSO WD- 88021 ,alt.03 ,,,,,,,Profile checking gauge female BG wagons size flange thickness 29.40 Ref material tool steel IS 3748/90 Hardness 50/55 HRC 
,,,,,SK-312 ,,,Leaf spring Schaku Coupling Escort Part No equivalent Note -Offers RDSO Approved sources considered 
,,,,,,,,ISI marked dry wet bulb type psychrometer per IS 5725/1970 Grade A 
,,,,,,,,Mattresses coir foam cushion .Size 75 x 36 x 4 coir 03 inches.Foam 01 inch Thickness Make KURLON Sleep well DUROFLEX NOTE Firm quote mentioned make Offer received brands summarily rejected 
,,,,,,,,Mattresses coir foam cushion .Size 75 x 36 x 4 coir 03 inches.Foam 01 inch Thickness Make KURLON Sleep well DUROFLEX NOTE Firm quote mentioned make Offer received brands summarily rejected 
,,,,,,,,Mattresses coir foam cushion .Size 75 x 36 x 4 coir 03 inches.Foam 01 inch Thickness Make KURLON Sleep well DUROFLEX NOTE Firm quote mentioned make Offer received brands summarily rejected 
,,,,,,,,Mattresses coir foam cushion .Size 75 x 36 x 4 coir 03 inches.Foam 01 inch Thickness Make KURLON Sleep well DUROFLEX NOTE Firm quote mentioned make Offer received brands summarily rejected 
,,,,,,,,Mattresses coir foam cushion .Size 75 x 36 x 4 coir 03 inches.Foam 01 inch Thickness Make KURLON Sleep well DUROFLEX NOTE Firm quote mentioned make Offer received brands summarily rejected 
,,,,,,,,Mattresses coir foam cushion .Size 75 x 36 x 4 coir 03 inches.Foam 01 inch Thickness Make KURLON Sleep well DUROFLEX NOTE Firm quote mentioned make Offer received brands summarily rejected 
,,,,,,,,Assembly Nose suspension device 1400HHP DEMU coach Motor Suspension unit CGL part No 760242272 BHEL part No 428150001 
Drg No ICF/SK-5-3 015 ,Alt.d ,,,,,,,FRP Inner frame double sealed window arrangement 2 feet-00 door window ICF 
Drg.No.CG-11085 ,Alt.3 ,,,,,,,P-Trap Interface Dia.150mm RDSO 
DRG.NO.CONTR 9404-,ALT.7 ,,ITEM NO.6 ,,,,,WIDE JAW ADAPTER FOR LCCF20 C 96 CASNUB BOGIE S/2 OR LATEST 
,,,,,,,,Center pivot liner gauge fig .No 4.14 RITES manual BLC wagons 
,,,,,,,,1 GHz Linux based thin client browser Specification attached 
DRG.NO CONTR-9404-,ALT.7 ,,ITEM NO.12 ,,,,,BOLSTER SPRING OUTER FOR LCCE 20 C-96 CANSUB BOGIE S/2 OR LATEST REFER DRG.NO CONTR- 9404-S/7 ITEM NO.1 ALT.5 OR LATEST 
,,,,,,,,LED search light equivalent Model TROY EVO Britelite similar specification enclosed 
Drg.No ICF/STD-1-2-003 ,Alt f/3 ,,,,,,,Tube Centre Stiffner Complete ICF Item-5 
,,,,,,,,Coach attention verification system RFID BASED comprising 3 items Specification attached 
,,,,,,,,Pedestal jaw gauge fig No..4.23 RITES manual BLC wagons 
,,,,,,,,Supply installation commissioning 203mm Double acting Bogie Mounted Brake Cylinder without Hand brake Provision confirming RDSO Spec.No RDSO/2014/CG-11 field trial GS Coaches Note Inspection item RDSO Note -Offers RDSO Approved sources considered 
,,,,,SK alfa 2201 ,,,Toner Photocopier machine Make KYOCERA Model TAPart code TK 4109 
,,,,,,,,Short Body Bib cock per Jaquar Model No CON-54 Hindware Foam type 
Drg.No Sketch 96081 ,Alt-5 ,,,,Sketch 96082 ,,,Protective cover Drain Cock Assembly RDSO Item-14 Item-11 Alt-3 c onfoirming MAT Spec IRS-M41-97 
Drg.No C W/SK No 0435 ,,,,,,,,Middle berth pin 
,,,,,,,,PVC 12mm casing caping per IS 14927 part 2 Makes -SGI JUVAS MODI Sudhakar AGK Note OEMS authorized dealer quote along authorization certificate Firms mention details make/model item shall enclose relevant technical leaflet 
,altech similar ,,,,,,,One way Blowing tubes compatible Tayal tech Breath Alcohol Analyzer Make Tay
Drg.No.RITES/TP 9405-,Alt percent u20180 ,,Item No.11 ,,,,,M20 X 75mm Bolt Nut Check Nut Washer Split Pin IS-001 Item No.12 percent u2019 latest 
,,,,,,,,ISI marked adjustable spanner per IS:6149-1984 Grade-II Type-A Nominal size 205mm maximum opening 26mm Taparia make equivalent Everest Mekaster 
,,,,,,,,Stainless steel Vernier Caliper measuring range 0-300mm LC 0.02mm fine adjustment per IS 3651 Part-2 -1985 Reaffirmed 2005 Type- percent u2018A percent u2019 
,,,,,,,,Water quality TDS meter equivalent model No TDS-3 HM Digital TDS range 0-9990 PPM 
,,,,,,,,17 Touch sreen -- 3 M make PALAS equivalent compatible existing CRIS CMS SOFTWARE/HARDWARE per CRIS Specification enclosed 
,,,,,,,,Set circuit Boards 3 items KBI make Disc Brake system fitted LHB Coaches per detailed description per annexure attached 
,,,,,,,,Set items consisting brake indicators Dump valve items MV Board 5 items Faiveley make Disc Brake System fitted LHB Coaches per detailed description overleaf 
,,,,,,,,Hydraulic hand pallet truck capacity 2500kg fitted nylon wheels width 27 x lenght 46 685mm x 1100mm Model HIS Genie Hydro Aritco 
,,,,,,,,Supply installation heavy duty adjustable pallet racks size 2500mm Height x 800mm depth x 2000mm Length along test certificate NABL accrediated lab Confirming European Standards design IS Specification stocking items per detailed description attached 
,,,,,,,,Love Joy Coupling size L-110 Suitable 700HP CAT Engine Radiator Fan DEMU DPC Make Fenner/Rohil/Royal 
DRG.NO.CONTR 9404-,ALT.7 ,,ITEM NO.6 ,,,,,WIDE JAW ADAPTER FOR LCCF20 C 96 CASNUB BOGIE S/2 OR LATEST 
,,,,,,,,POH kit Alluminium body KE type KBI make Distributor valve consisting 61 items per part list enclosed Annexure-I Note Material Inspection RDSO.. 
,,,,,,,,Non metalic asbestos sheet champion style 54 equivalent Spitman Brand size 5 x 5 x 2mm thickness Max temperature 550 Degrees C Max pressure 40Kg/sqcm Specification compliance IS2712-1998 Make Champion/Spitman The supplied asbestos sheet soft foldable brittle/hard 
,,,,,,,,Love Joy Coupling size L-100 Suitable 700HP 1400HP CAT Engine Radiator Fan DEMU DPC Make Fenner/Rohil/Royal 
Drg.No ICF/STD 6-3-008 ,Alt.n/Nil ,,,,,,,Mirror Assembly ICF Col.I 
Drg No ICF/5-4-276 ,Alt C ,,"Item No 12,13,14,15,16,17 ",,,,,Lock Box Emergency openable window arrangement AC Coaches 
,,,,,,,,Upper housing Automatic Twist Lock BLC Wagon sanrok enterprises part no.70260 
,,,,,,Qty 5 ,,Flexball-Remote Control hand brake KBI make Disc Brake System fitted LHB Coaches per detailed description -FLEXBALL-REMOTE CONTROL G 2333mm Make KBI Part No I.P.1606 
,,,,,,,,Set Maint items Brake System 11 Item KBI make Disc Brake System fitted LHB Coaches per attached annexure 
Drg.no.ICF/SK-5-4-279 ,alt-e ,,,,,,,Sealed Window unit 1220x560mm Emergency window ICF Col-I 
Drg No.SK-98003 ,Alt.Nil.Note -Offers RDSO Approved vendors considered ,,,Amendment No.03 ,,,,Drain cock Assembly Auxiliary Reservoir 200 litres conforming RDSO spec No.02-ABR-02 April 2010 Appendix-C RDSO 
Drg no.RDSO SK-96081 ,Alt-5 ,,,Amendment No.03 ,,,,Auxiliary Reservoir-200Ltrs capacity together Drain cock assembly accessories conforming RDSO Spec no.02-ABR-02 April 2010 Appendix-C RDSO Note Offers RDSO approved vendors considered 
,,,,,,,,Plastic Mug Capacity 01 litre make CHETAN CELLO 
,,,,,,,,ELECTRONIC WEIGHTING SCALES CAP 100 KGS MAKE /MODEL CAL- ON CL-100 EP 10 OF TECHNO MAX OR SIMILAR SPECIFICATION ENCLOSED 
,,,,,sketch enclosed.The chain slings shall electric welded plated Test certificates shall produced govt approved list house proof load safe working load per IS specifications.All connecting accessories attachments single make capacity duly embossed ,,,Double legged chain sling make Vankos company safe lift industries Thiele crossby Green pin only.Offers received OEM authorized dealers accepted.Necessary proof submitted along offer specification Double legged special alloy steel electric welded plated chain sling per IS 2760:80 GRADE 80t 18 dia Master link per IS 2760:80 Grade 80T 40mm ID size 160 x 300 ID .effective length chain shall 5 mtrs.Safe working load 15 Ton proof load 30 TON bottom end eye hook per IS 2760 80 Grade 80 T per 
,,,,,,Qty 5 ,,Flexball-Remote Control hand brake KBI make Disc Brake System fitted LHB Coaches per detailed description -FLEXBALL-REMOTE CONTROL G 2333mm Make KBI Part No I.P.1606 
,,,,,,,,Set circuit Boards 3 items KBI make Disc Brake system fitted LHB Coaches per detailed description per annexure attached 
,,,,,,,,Supply installation heavy duty adjustable pallet racks size 2500mm Height x 800mm depth x 2000mm Length along test certificate NABL accrediated lab Confirming European Standards design IS Specification stocking items per detailed description attached 
,,,,,,Qty 4 ,,Set Flex Ball Cables Hand Brake Faiveley make Disc Brake System fitted LHB Coaches detailed herein -Description Set Flex ball cables end connection Make FTIL Part No 790040335 Sets 
,,,,,,,,Love Joy Coupling size L-100 Suitable 700HP 1400HP Ventilation Fan DEMU DPC Make Fenner/Rohil/Royal 
Drg.no.ICF/SK-5-4-279 ,alt-e ,,,,,,,Sealed Window unit 1220x560mm Emergency window ICF Col-I 
Drg.No.T-0-7-603 ,Alt-A/15 ,,,,,,,Anchor Link ICF.Col-1 
,,,,,,,,Set Maint items Brake System 11 Item KBI make Disc Brake System fitted LHB Coaches per attached annexure 
,,,,,,Qty:50 ,,Overhauling kit Brake Cylinder Faiveley make disc Brake system fitted LHB Coaches per detailed description KIT FOR BRAKE CYLINDER Make FTIL Part No 12502140/139800 
